"NUTS","Country","Population_density","Percentage_early_leavers_from_education","Percentage_of_NEET","Percentage_of_people_studying_or_training","Life_expectancy","Hospital_beds","Air_passengers","Utilised_agricoltural_area","Unemployement_rate","GVA","First_wave_density","Second_wave_density","Latitude","Longitude","Students_in_tertiary_education","Students","Deaths","Discharges_after_respiratory_disease","Health_personnel","Vehicles","Farm_labour_force","Compensation_of_employees","Hours_worked","GDP"
"AT11","AT",77.8,8.15,7.775,9.3,81.9,587.21,6031.83333333333,181970,4.2,107.5,0.00153853469005149,0.0389422489097801,47.2361,16.2874,2292.51857789129,3579.04604056569,380.710918501814,1293.99937507642,433.710551698841,86547.8406173158,2095.53179638359,1462.11740412178,68999.7147087992,3149.27862082082
"AT12","AT",88.9,7.7,7,9.3,81.7,671.36,31635,908850,4.2,108,0.00220805599045768,0.0390378836860939,48.2589,15.7601,1968.31062639562,3886.09542197975,61.5637358716181,1261.48334577183,470.169276376295,81871.0825411584,1820.35484451284,1689.20142469781,70017.1645331229,3663.64164777143
"AT13","AT",4808.9,10.6,9.9,16.5,81.1,751.91,6031.83333333333,8020,10.6,108.4,0.00353078263763276,0.0424918283939177,48.2028,16.3932,10070.7359965592,3812.80573213248,44.8767286995387,1535.90091204908,684.285348769432,41839.6696091599,110.402361668719,2544.22504082533,86993.3983573594,5250.51237683727
"AT21","AT",59.9,8.15,7.9,10.1,82.2,803.93,210,220340,4.7,109.3,0.00108321322375301,0.0491721792361565,46.7161,14.4629,2766.2914021732,3664.03999337245,192.765632209915,1933.92755655246,484.951709713109,78155.9720146162,1341.54532481253,1799.23854386212,78039.4553290349,3831.43028685553
"AT22","AT",76.6,5.7,7.6,11.3,82.2,801.3,1035,375180,4.4,109.6,0.00184532190838378,0.0415205452525082,47.1818,15.5247,4977.15411246034,3609.69034696063,80.5330573373609,1950.42502577433,520.621472326189,75984.0179076457,1720.16094416297,1965.90968352729,82089.546251389,4078.19351008308
"AT31","AT",126.8,7.5,7.5,10.6,82.3,676.7,430,517350,3.9,109.9,0.00287261646980196,0.0538536743790928,48.143,13.9503,2661.98476929488,4089.3685007975,60.7295680875863,1856.49801144618,425.356594302141,78807.3910992505,1607.75264229047,2155.50242605579,82306.7358528168,4588.39452209955
"AT32","AT",78.9,9.6,8.3,10.6,82.8,869.23,1730,178390,3,109.6,0.00276499346358411,0.0631722211278451,47.2823,13.0002,4805.96694185276,3751.36548414248,145.908919969198,1592.915599649,579.50251607242,68588.4923264268,1262.51320714171,2280.2242080192,93972.1709854766,5345.85698680181
"AT33","AT",60.4,7.8,6.9,11,83,665.33,1151,259010,3,109.1,0.00528355380038383,0.0562197578250184,47.1809,10.7635,5546.87355636099,3836.54904610934,105.304144217393,2046.50266487512,587.618823864821,66612.3748406223,1249.94390431264,2089.66334668191,87885.4433671139,4802.08517569169
"AT34","AT",156.3,8.15,7.1,10.5,83.3,529.42,6031.83333333333,77780,3.6,107.4,0.00265398261062248,0.0549782318029707,47.2366,9.8851,1153.75221270135,4202.30700082339,192.204744434568,1270.08427779694,431.083323471127,64002.2762811006,700.006798627181,2108.58163010936,78488.8917985894,4825.20981318883
"BE10","BE",7526.7,9.7,11.3,10.3,81.9272727272727,706.21,7077.2,0,12.3,102.8,0.00754313515846469,0.0683753976739548,50.8401,4.3569,9461.94264339967,8226.41503264768,58.1462263071335,1351.11054436783,389.09106365726,46599.1315749033,0.81741820096063,3556.12066400515,88581.4361056889,7083.00718347115
